parcel_id,sale_date,sale_price,deed_type,recorded_date
P001,06/15/2012,$210000,WD,06/20/2012
P002,03/22/2008,$175000,WD,03/28/2008
P003,11/10/2018,$225000,WD,11/15/2018
P004,01/05/2005,$145000,QC,01/10/2005
P005,09/18/2010,$180000,WD,09/22/2010
P006,07/20/2020,$310000,WD,07/25/2020
P006,03/15/2015,$255000,WD,03/20/2015
P007,04/11/2021,$335000,WD,04/15/2021
P008,12/01/2019,$290000,WD,12/05/2019
P008,06/10/2014,$220000,WD,06/15/2014
P009,08/30/2022,$350000,WD,09/02/2022
P010,02/14/2023,$365000,WD,02/17/2023
P010,09/20/2018,$280000,WD,09/25/2018
P011,05/20/2001,$85000,WD,05/25/2001
P012,08/15/2003,$78000,QC,08/20/2003
P013,11/30/1999,$72000,WD,12/05/1999
P014,03/10/2007,$95000,WD,03/15/2007
P015,06/25/2000,$70000,QC,06/30/2000
P016,10/12/2015,$235000,WD,10/16/2015
P017,04/05/2016,$245000,WD,04/10/2016
P018,07/19/2014,$218000,WD,07/24/2014
P019,09/01/2011,$205000,WD,09/06/2011
P020,01/28/2017,$255000,WD,02/02/2017
